"地区","累计武汉滞留时间","风险携带者比例","武汉62家定点医院到访比例","华南海鲜市场到访比例","机场到访比例","火车站到访比例","累计确诊人数"
"安徽省",1979027123,0.9326681,0.0377709,0.0015147,0.001252,0.0498562,39
"天津市",66690656,0.0277956,0.0012924,2.02e-05,0,0,3
"天津市",43821903,0.0196983,0.0009794,2.02e-05,0,0.0004948,9
"广西壮族自治区",411714262,0.0865972,0.0012622,3.03e-05,0,0,5
"天津市",55191092,0.0277652,0.0007572,1.01e-05,1.01e-05,0,6
"天津市",54823215,0.0171741,0.0007169,3.03e-05,0,0,3
"广东省",181184393,0.1064872,0.003029,0.000101,0,0,1
"山东省",1618451640,0.3639867,0.0097432,0.0003737,0,0,7
"广西壮族自治区",286795441,0.1022467,0.0030492,8.08e-05,0,0,1
"河南省",463689725,0.1380891,0.004392,0.0002222,0,0,6
"黑龙江省",59788639,0.0050887,0.0001414,1.01e-05,0,0,1
"河北省",603338553,0.2624063,0.0056136,0.0001717,3.03e-05,0,4
"湖南省",2283985810,0.6907577,0.024464,0.0010302,0.0003231,0,20
"云南省",288476848,0.0688174,0.0011916,2.02e-05,0.0001615,0,4
"天津市",24352692,0.0165178,0.0008986,1.01e-05,0,0.0016458,2
"上海市",57692735,0.0337018,0.0015447,4.04e-05,0,0,2
"内蒙古自治区",363719396,0.075996,0.0023324,6.06e-05,0.000212,0,2
"内蒙古自治区",236548309,0.0174368,0.0007272,2.02e-05,0,0,2
"辽宁省",202581508,0.1178658,0.0031906,0.0001111,0,0,4
"浙江省",330721493,0.1579285,0.0050987,0.0002323,0,0,5
"河南省",384830478,0.0657681,0.0015851,6.06e-05,0,0,1
"湖南省",1206520932,0.2323395,0.0078249,0.000303,0,0,23
"江苏省",646854103,0.1425515,0.0045231,0.0001313,5.05e-05,0,7
"安徽省",444084711,0.0948662,0.0028472,0.0001212,0,0,2
"安徽省",657390345,0.1438945,0.0043213,0.0001818,0,0,6
"湖北省",109342659124,5.6256306,0.4397199,0.0143371,0.0002625,0,496
"上海市",130651276,0.08376,0.0038669,7.07e-05,0,0,4
"安徽省",332237649,0.0820537,0.0030391,8.08e-05,0,0,7
"湖北省",30019925292,2.3769929,0.1849466,0.0063003,0,0,113
"广东省",1310895582,0.1924885,0.0072594,0.0001818,0,0,17
"黑龙江省",127521876,0.0119645,0.0002929,1.01e-05,0,0,1
"江西省",1442170632,0.3059724,0.0100663,0.0003535,1.01e-05,0,5
"吉林省",417743821,0.048978,0.0018174,1.01e-05,0,0,3
"山东省",758499577,0.3825137,0.0113788,0.0004141,0.0016861,0.0013631,14
"山东省",1077100086,0.2449192,0.0061891,0.0001515,0,0,8
"黑龙江省",235666238,0.0196073,0.0010097,1.01e-05,0,0,5
"上海市",174110808,0.0723107,0.0023828,0.000101,6.06e-05,0,2
"浙江省",439343926,0.2007475,0.0059367,0.0002222,0,0,16
"重庆市",39056582,0.0201929,0.0008077,1.01e-05,0,0,8
"重庆市",195725730,0.0684134,0.0009794,1.01e-05,0,0,3
"广东省",369988396,0.0955425,0.0030491,0.000202,0,0,1
"河南省",1094014088,0.1846133,0.0052098,0.0002222,0,0,2
"广东省",381881137,0.0755718,0.0017871,9.09e-05,0.0008279,0,6
"甘肃省",101918364,0.023555,0.0006058,4.04e-05,0,0,1
"浙江省",992434245,0.2521992,0.0080975,0.0002626,0.0002019,0,20
"上海市",49943966,0.0203241,0.000727,3.03e-05,0,0,1
"辽宁省",197162324,0.0960072,0.0035742,5.05e-05,0.0004443,0,4
"山西省",970211829,0.1179167,0.0031301,2.02e-05,0,0,9
"湖北省",30767078244,2.0037176,0.1230554,0.0046849,0,0,191
"湖北省",62467291275,3.2519089,0.222263,0.0059469,0.0054218,0,151
"江西省",565887825,0.1277704,0.0046848,0.0001414,0.0003029,0,2
"上海市",125586899,0.0730477,0.003352,8.08e-05,0.0008683,0.0053714,8
"江西省",4161025265,0.9489336,0.0476655,0.0021206,0.0001514,0,31
"重庆市",192134629,0.0765209,0.002191,0.000101,0,0,5
"河南省",1350686600,0.3595745,0.0089355,0.000303,0.0001616,0,4
"重庆市",771390707,0.0865668,0.0014943,7.07e-05,0,0,14
"云南省",1333287833,0.34129,0.0144784,0.0003232,0.014862,0.0070878,21
"甘肃省",416661000,0.1318999,0.0047252,0.0002323,0.0025545,0.0034731,14
"河北省",503760888,0.2049983,0.0046242,7.07e-05,0.001666,0,9
"四川省",340556987,0.0667071,0.0013934,1.01e-05,0,0,2
"云南省",301355307,0.076218,0.0031098,6.06e-05,0.0006563,0,6
"浙江省",313013629,0.0872335,0.0036349,0.000202,0,0,6
"江苏省",659396447,0.1315767,0.0031401,0.0001616,0.0002423,0,6
"四川省",287333123,0.1084359,0.0011613,0,0,0,2
"重庆市",175042301,0.1105963,0.0017063,7.07e-05,1.01e-05,0,2
"辽宁省",118802937,0.0246558,0.0007069,0,0,0,1
"山东省",739928561,0.1923573,0.0044626,0.0001313,5.05e-05,0,5
"山西省",631398394,0.1068204,0.0017468,6.06e-05,0.0002524,0,1
"海南省",137827380,0.0087032,0.0003433,0,0,0,1
"甘肃省",12766849,0.0027967,9.09e-05,0,0,0,2
"山东省",1001457413,0.1956184,0.0050988,9.09e-05,0,0,16
"海南省",304013554,0.0284619,0.0011611,2.02e-05,0,0,2
"广西壮族自治区",614917070,0.2168209,0.0057651,0.0001212,0.0002524,0,10
"安徽省",1736178060,0.5565458,0.023545,0.0008684,0,0,8
"贵州省",429618692,0.0710285,0.0018174,3.03e-05,0,0,1
"福建省",397531047,0.079883,0.0019789,3.03e-05,0,0,1
"甘肃省",228809936,0.0614168,0.0007473,4.04e-05,0,0,1
"湖南省",1895297449,0.1795249,0.0079461,0.0002323,0,0,16
"四川省",585215020,0.1707004,0.0028876,0.0001111,0,0,5
"河南省",1782286110,0.3695399,0.010854,0.0003232,0.0021002,0,2
"河南省",1750062187,0.4888496,0.016932,0.0006868,0,0,11
"山西省",422267868,0.0725837,0.0012218,7.07e-05,0,0,4
"安徽省",831107647,0.1803122,0.0050483,0.0002727,0,0,14
"广东省",402578404,0.0982183,0.0030896,0.0001616,1.01e-05,0,3
"四川省",349189913,0.0861429,0.0020296,0.0001111,0.0002929,0,2
"广东省",296606118,0.0842851,0.0017063,0.0001111,0.0001616,0,5
"北京市",23928032,0.0100358,0.0003635,0,0,0,1
"四川省",750786714,0.2336519,0.0036349,0.0001212,0.0001817,0,9
"上海市",459410254,0.1836645,0.0086629,0.0002525,0.007835,0.0403758,4
"黑龙江省",226598505,0.0286336,0.0009795,4.04e-05,0.0002525,0,1
"重庆市",188425726,0.0946138,0.0026554,7.07e-05,0,0,2
"江西省",3285981104,0.7121219,0.0330965,0.0015853,0.0173862,0.0243123,46
"四川省",1218270835,0.4035041,0.0059267,0.0002525,0.0007169,0,9
"江苏省",1078469230,0.6469396,0.0276544,0.0009393,0.0107326,0.0436571,19
"天津市",49267746,0.0174265,0.0007673,6.06e-05,0,0,1
"广西壮族自治区",1231293238,0.3267612,0.0100057,0.0002727,0.0011713,0.0139635,15
"福建省",655029738,0.1103543,0.0041194,0.0001414,5.05e-05,0,3
"江苏省",1365582718,0.1614523,0.0060479,0.0001818,0,0,9
"河南省",7480207485,0.871575,0.0265743,0.0010604,0.001464,0,51
"四川省",432925421,0.0919279,0.0016256,4.04e-05,0,0,4
"浙江省",797415110,0.1903687,0.0070273,0.000202,0.0011006,0.0041497,41
"福建省",604690356,0.0697666,0.0022414,9.09e-05,0,0,8
"辽宁省",93832957,0.0486345,0.0010399,2.02e-05,0,0,3
"河南省",1509312816,0.3162104,0.0097635,0.0003434,0,0,8
"甘肃省",312877583,0.0620125,0.0010905,1.01e-05,0,0,1
"江西省",596372136,0.095906,0.0031299,0.0001414,0,0,5
"福建省",1083906414,0.1103339,0.0038166,0.0001919,0,0,17
"河南省",1061811002,0.226897,0.005028,0.0001818,0,0,1
"上海市",1138751070,0.2373267,0.0090969,0.0001515,0.0051391,0,17
"云南省",134944267,0.0485439,0.0009087,2.02e-05,4.04e-05,0,3
"黑龙江省",70121488,0.006058,0.0002727,2.02e-05,0,0,2
"黑龙江省",302919072,0.0340862,0.0011412,3.03e-05,0,0,3
"重庆市",107198999,0.0204957,0.000525,2.02e-05,0,0,4
"湖北省",10338509150,0.7323446,0.0550659,0.0016659,0,0,10
"贵州省",752522333,0.161008,0.0045031,0.000101,0,0,1
"重庆市",299275141,0.034227,0.0010097,6.06e-05,2.02e-05,0,1
"贵州省",608169314,0.1511234,0.0037053,0.0001616,0,0,4
"贵州省",393425029,0.0790958,0.0017669,2.02e-05,0.0006563,0,1
"广西壮族自治区",301315248,0.0381847,0.0013125,4.04e-05,0,0,1
"山东省",881728760,0.2119748,0.00835,0.0003232,0.00314,0.0020496,21
"上海市",100634551,0.0580748,0.0018679,3.03e-05,0.0001212,0,2
"广东省",353790855,0.261013,0.0071281,0.0003434,0,0,6
"海南省",300784445,0.0277854,0.0012621,7.07e-05,0,0,3
"海南省",31862422,0.0039275,9.09e-05,0,0,0,1
"浙江省",443791665,0.2258876,0.0082892,0.0004545,0,0,10
"云南省",639531480,0.1338586,0.0030693,0.0001212,0,0,5
"福建省",2261396795,0.264113,0.0073302,0.0007877,0.0005856,0,18
"山东省",288791174,0.0610937,0.001666,9.09e-05,0,0,9
"河南省",487059434,0.143713,0.0032815,0.0001818,0,0,5
"福建省",1023809494,0.1669045,0.0055935,0.0002626,0,0,10
"海南省",1176241136,0.1748804,0.0086932,0.0001717,0.0084103,0,14
"福建省",937833409,0.2336721,0.0095109,0.0003535,0.0084205,0.0042304,7
"广东省",581783194,0.0762081,0.0028474,0.0001212,0.0002423,0,12
"广东省",141330685,0.0276541,0.0007067,3.03e-05,0,0,1
"陕西省",358831065,0.1461057,0.0042305,0.0001111,0,0,2
"河南省",3651911004,0.4496245,0.0145289,0.0004444,0,0,18
"江西省",1889168866,0.3371801,0.0130849,0.0003737,0,0,11
"广东省",369378372,0.3721042,0.0103086,0.000303,0,0,4
"湖南省",2325518135,0.2569645,0.0101067,0.000404,0,0,29
"浙江省",768103566,0.1520524,0.0047757,0.0001717,0,0,19
"广东省",3183113678,0.5643204,0.0262913,0.0006666,0.0157807,0,98
"湖北省",431262444,0.0509567,0.0028068,2.02e-05,0,0,5
"辽宁省",514953124,0.2587215,0.0081984,0.0001919,0.0034228,0.0017568,9
"湖北省",19330478331,1.357536,0.071796,0.0020497,8.08e-05,0,119
"河北省",1322602019,0.4363383,0.0143574,0.0005252,0.0010097,0.0002625,11
"北京市",61750498,0.028997,0.0015347,6.06e-05,0,0,2
"重庆市",202103235,0.115685,0.0022818,0.000101,0,0,7
"黑龙江省",245560662,0.0113688,0.0006665,2.02e-05,0,0,1
"北京市",291291698,0.0831039,0.0036752,8.08e-05,0.0218285,0,2
"山西省",330622361,0.043122,0.0010197,2.02e-05,0,0,3
"吉林省",133631193,0.0374678,0.0012721,1.01e-05,0,0,1
"上海市",193569053,0.0641629,0.0023727,7.07e-05,1.01e-05,0.000101,3
"吉林省",207418093,0.0362361,0.0011712,1.01e-05,0,0,2
